Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$8.88,-0.11,-1.224%,0.00,United States,2003,311405,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.54,0.02,0.794%,0.00,United States,1986,638207,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.86,-0.18,-2.98%,0.00,United States,1992,47535,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.26,-0.09,-0.627%,0.00,United States,2004,34597,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$1.19,-0.14,-10.526%,23369515.00,United States,,82107,Consumer Discretionary,Industrial Machinery/Components
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.3564,-0.0144,-3.883%,2279831.00,,2022,393172,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$11.41,0.33,2.978%,84151968.00,United States,1975,15106,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$1.88,0.01,0.535%,23378800.00,Canada,2002,11921,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$2.12,-0.03,-1.395%,219272348.00,United States,,395812,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.085,0.025,0.413%,245866701.00,United States,2003,47078,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.3319,-0.0011,-0.33%,48307199.00,,2020,103496,,
GAU,Galiano Gold Inc.,$0.52,-0.0075,-1.422%,116970596.00,Canada,,60514,,
GBR,New Concept Energy Inc Common Stock,$1.12,0.00,0.00%,5747766.00,United States,1993,6308,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$14.04,0.17,1.226%,205794136.00,United States,,12355,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.65,0.06,1.671%,0.00,United States,2005,670095,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$21.2701,-0.1899,-0.885%,,United States,,488,,
GLDG,GoldMining Inc. Common Shares,$0.7884,0.0068,0.87%,139419301.00,,,394903,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$4.46,0.04,0.905%,0.00,United States,2006,90397,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$5.61,0.095,1.723%,0.00,United States,2005,44843,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$11.97,0.195,1.656%,71447865.00,United States,2004,11124,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$47.77,-0.13,-0.271%,,United States,,838,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.3001,0.0401,0.08%,,United States,,256,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.0294,0.0694,1.399%,63921577.00,United States,2004,18046,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.5906,0.058,10.89%,30061574.00,Singapore,2022,2481606,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$0.2648,-0.0258,-8.878%,23486181.00,United States,,944142,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.55,-0.07,-0.812%,0.00,United States,,3725,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.18,0.01,0.855%,917387342.00,,2022,13873,,
GROY,Gold Royalty Corp. Common Shares,$1.30,-0.02,-1.515%,188461371.00,Canada,2021,355430,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.37,0.05,3.788%,2603000000.00,United States,2006,3407906,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$6.21,0.12,1.97%,206720374.00,Canada,,243676,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.72,0.22,2.095%,0.00,,2022,18688,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$10.29,0.07,0.685%,0.00,United States,2007,12941,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.82,-0.01,-0.546%,19849562.00,United States,,108892,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$52.52,0.00,0.00%,,United States,,188,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$3.77,0.00,0.00%,0.00,United States,1985,41893,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.30,0.01,0.775%,360195295.00,,2022,1655276,,
IBIO,iBio Inc. Common Stock,$0.2766,-0.0035,-1.25%,7630426.00,United States,,225084,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.091,-0.006,-6.186%,3194332.00,United States,2017,1789975,Miscellaneous,Diversified Commercial Services
IDR,Idaho Strategic Resources Inc. Common Stock,$5.01,0.13,2.664%,61405180.00,,2022,10143,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.92,-0.13,-1.294%,1029536338.00,Canada,2022,402799,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.295,-0.006,-1.993%,15905398.00,United States,,73524,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.2269,0.0469,3.975%,11049714.00,United States,1999,2582,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$56.02,1.26,2.301%,32724251060.00,Canada,1929,328416,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$3.19,-0.0099,-0.309%,32346600.00,,2019,31089,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$8.59,-0.01,-0.116%,180860354.00,United States,,23208,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.1494,-0.0506,-1.205%,16903647.00,,2022,7059,Technology,EDP Services
INTT,inTest Corporation Common Stock,$12.11,-0.23,-1.864%,147226792.00,United States,1997,67647,Technology,Semiconductors
INUV,Inuvo Inc.,$0.20,0.0149,8.05%,27589669.00,United States,,8408122,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.75,-0.24,-2.002%,48978865.00,United States,1987,2666,Real Estate,Real Estate Investment Trusts
